,tweet,views['count'],bookmark_count,favorite_count,quote_count,reply_count,retweet_count,label,preprocessed_tweet,lemmatized_tweet
0,محکمہ تحفظ ماحول حکومت پنجاب کی جانب سے صوبہ بھر میں ماحولیاتی تحفظ قوانین2023کا نفاذ غیر معیاری ایندھن کے استعمال،بغیر زگ زیگ ٹیکنالوجی کے حامل بھٹہ جات، ٹائرپلانٹ،آلودگی پھلانے والی فیکٹریاں، فصلوں کی باقیات کو جلانے،سالڈ ویسٹ کو جلانے، دھواں چھوڑنے والی گاڑیوں پر پابندی عائد https://t.co/LdjjGCnYjn,23,0,0,0,0,0,0,"['محکمہ', 'تحفظ', 'ماحول', 'حکومت', 'پنجاب', 'جانب', 'صوبہ', 'ماحولیاتی', 'تحفظ', 'قوانین', '2023', 'نفاذ', 'غیر', 'معیاری', 'ایندھن', 'استعمال', 'زگ', 'زیگ', 'ٹیکنالوجی', 'حامل', 'بھٹہ', 'جات', 'ٹائرپلانٹ', 'آلودگی', 'پھلانے', 'فیکٹریاں', 'فصلوں', 'باقیات', 'جلانے', 'سالڈ', 'ویسٹ', 'جلانے', 'دھواں', 'چھوڑنے', 'گاڑیوں', 'پابندی', 'عائد']",محکمہ تحفظ ماحول حکومت پنجاب جانب صوبہ ماحولیاتی تحفظ قانون 2023 نفاذ غیر معیاری ایندھن استعمال زگ زیگ ٹیکنالوجی حامل بھٹہ جات ٹائرپلانٹ آلودگی پھلانہ فیکٹری فصل باقیات جلانہ سالڈ ویسٹ جلانہ دھواں چھوڑ گاڑی پابندی عائد
1,لاہور ہائیکورٹ نے فصلوں کی باقیات کو آگ لگانے والوں کو 2 لاکھ جبکہ بلند عمارتوں پر پھول پودے نہ لگانے والوں کو 10 لاکھ تک کا جرمانہ کرنے کا حکم دے دیا,44612,4,1400,2,17,221,0,"['لاہور', 'ہائیکورٹ', 'فصلوں', 'باقیات', 'آگ', 'لگانے', '2', 'لاکھ', 'بلند', 'عمارتوں', 'پھول', 'پودے', 'لگانے', '10', 'لاکھ', 'جرمانہ', 'حکم']",لاہور ہائیکورٹ فصل باقیات آگ لگا 2 لاکھ بلند عمارت پھول پودا لگا 10 لاکھ جرمانہ حکم
2,Another Cypher leaked. https://t.co/WM2v7CWAXo,36,0,0,0,0,0,1,"['سائپر', 'لیک', 'ہوگیا']",سائپر لیک ہو
3,Is it a Diplomatic language only for Pakistan or for any other country also? #Disgusting,48,0,1,0,1,0,1,"['پاکستان', 'ملک', 'سفارتی', 'زبان', 'ڈیسگسٹنگ']",پاکستان ملک سفارتی زبان ڈیسگسٹنگ
4,"گوجرانوالہ تھانہ اروپ میں SHO اروپ عدنان اعجاز کیخلاف مقدمہ درج, SHOخود 234 موٹر سائیکل، 5 رکشہ، 3 کاریں، 1 ٹرک، 20 بجلی کی تاروں کا چور نکلا
""ہمارے راہبر ہی راہزن نکلے"" https://t.co/iyzJ4mmmB8",47,0,1,0,0,0,0,"['گوجرانوالہ', 'تھانہ', 'اروپ', 'SHO', 'اروپ', 'عدنان', 'اعجاز', 'کیخلاف', 'مقدمہ', 'درج', 'SHO', '234', 'موٹر', 'سائیکل', '5', 'رکشہ', '3', 'کاریں', '1', 'ٹرک', '20', 'بجلی', 'تاروں', 'چور', 'نکلا', 'راہبر', 'راہزن', 'نکلے']",گوجرانوالہ تھانہ اروپ SHO اروپ عدنان اعجاز کیخلاف مقدمہ درج SHO 234 موٹر سائیکل 5 رکشہ 3 کار 1 ٹرک 20 بجلی تار چور نکلا راہبر راہزن نکل
5,"زمیندار یا کاشتکار جو 5 ایکڑ سے زیادہ زمین کاشت کر کے 4 لاکھ سالانہ سے ذیادہ انکم حاصل کر رہا ہے
اس کیلئے ایگریکلچر ریٹرن جمع کروانا لازمی ہے۔
بصورت دیگر اسسٹنٹ کمشنر خود سے آپ کی انکم کا اندازہ لگا کر ٹیکس عائد کر دیں گے۔ https://t.co/ZBzzwOXz5o",482,0,24,0,0,23,1,"['زمیندار', 'کاشتکار', '5', 'ایکڑ', 'زیادہ', 'زمین', 'کاشت', '4', 'لاکھ', 'سالانہ', 'ذیادہ', 'انکم', 'حاصل', 'کیلئے', 'ایگریکلچر', 'ریٹرن', 'جمع', 'کروانا', 'لازمی', 'بصورت', 'دیگر', 'اسسٹنٹ', 'کمشنر', 'انکم', 'اندازہ', 'ٹیکس', 'عائد']",زمیندار کاشتکار 5 ایکڑ زیادہ زمین کاشت 4 لاکھ سالانہ ذیادہ انکم حاصل کیلئے ایگریکلچر ریٹرن جمع کروا لازمی بصورت دیگر اسسٹنٹ کمشنر انکم اندازہ ٹیکس عائد
6,"#میرے_پاکستانیو
گوجرانوالہ تھانہ اروپ میں SHO اروپ عدنان اعجاز کیخلاف مقدمہ درج, SHOخود 234 موٹر سائیکل، 5 رکشہ، 3 کاریں، 1 ٹرک، 20 بجلی کی تاروں کا چور نکلا
""ہمارے راہبر ہی راہزن نکلے""
@TeamS0K @MyKhan31 
@A5hu_ @SaniaRa42124832 @fa6_ki @_star527 @aagpsh @A_k451 https://t.co/4k5f8gZNTw",166,1,9,0,1,16,0,"['میرے_پاکستانیو', 'گوجرانوالہ', 'تھانہ', 'اروپ', 'SHO', 'اروپ', 'عدنان', 'اعجاز', 'کیخلاف', 'مقدمہ', 'درج', 'SHO', '234', 'موٹر', 'سائیکل', '5', 'رکشہ', '3', 'کاریں', '1', 'ٹرک', '20', 'بجلی', 'تاروں', 'چور', 'نکلا', 'راہبر', 'راہزن', 'نکلے', 'TeamS0K', 'MyKhan31', 'A5hu_', 'SaniaRa42124832', 'fa6_ki', '_star527', 'aagpsh', 'A_k451']",میرے_پاکستانیو گوجرانوالہ تھانہ اروپ SHO اروپ عدنان اعجاز کیخلاف مقدمہ درج SHO 234 موٹر سائیکل 5 رکشہ 3 کار 1 ٹرک 20 بجلی تار چور نکلا راہبر راہزن نکل TeamS0K MyKhan31 A5hu_ SaniaRa42832 fa6_ki _star527 aagpsh A_k451
7,"#دو_قومي_نظريه 😭
پشتون اور بلوچ عوام سے پنجاب جانے کیلئے کلیرنس NOC مانگتا ہے،
جبکہ پختونخوا اور بلوچستان سے معدنیات چوری کرنے کیلئے کوئی کلیرنس NOC نہیں ہے،
اس سے بڑی دوشمنی اور کیا ہوسکتا ہے!
@HaiderHotiANP @AsgharAchakzaii @AimalWali @SamarHBilour https://t.co/s2gUTMCRkm",249,0,18,0,0,7,1,"['دو_قومی_نظریہ', 'پشتون', 'بلوچ', 'عوام', 'پنجاب', 'کیلئے', 'کلیرنس', 'NOC', 'مانگتا', 'پختونخوا', 'بلوچستان', 'معدنیات', 'چوری', 'کیلئے', 'کلیرنس', 'NOC', 'دوشمنی', 'ہوسکتا', 'HaiderHotiANP', 'AsgharAchakzaii', 'AimalWali', 'SamarHBilour']",دو_قومی پشتون بلوچ عوام پنجاب کیلئے کلیرنس NOC مانگتا پختونخوا بلوچستان معدنیات چوری کیلئے کلیرنس NOC دوشمنی ہوسکتا HaiderHotiANP AsgharAchai AimalWali SamarHBilour
8,"#دو_قومي_نظريه 😭
پشتون اور بلوچ عوام سے پنجاب جانے کیلئے کلیرنس NOC مانگتا ہے،
جبکہ پختونخوا اور بلوچستان سے معدنیات چوری کرنے کیلئے کوئی کلیرنس NOC نہیں ہے،
اس سے بڑی دوشمنی اور کیا ہوسکتا ہے!
@HaiderHotiANP @AsgharAchakzaii @AimalWali @SamarHBilour https://t.co/s2gUTMCRkm",249,0,18,0,0,7,1,"['دو_قومی_نظریہ', 'پشتون', 'بلوچ', 'عوام', 'پنجاب', 'کیلئے', 'کلیرنس', 'NOC', 'مانگتا', 'پختونخوا', 'بلوچستان', 'معدنیات', 'چوری', 'کیلئے', 'کلیرنس', 'NOC', 'دوشمنی', 'ہوسکتا', 'HaiderHotiANP', 'AsgharAchakzaii', 'AimalWali', 'SamarHBilour']",دو_قومی پشتون بلوچ عوام پنجاب کیلئے کلیرنس NOC مانگتا پختونخوا بلوچستان معدنیات چوری کیلئے کلیرنس NOC دوشمنی ہوسکتا HaiderHotiANP AsgharAchai AimalWali SamarHBilour
9,"حکومت کی جانب سے سرکاری ملازمین کی تنخواہوں میں 35 فیصد اضافہ تو کر دیا گیا لیکن اس کے ساتھ ساتھ ایسا فیصلہ کیا گیا ہے جس سے مستقبل میں سرکاری ملازمین کی بنیادیں ہل جائیں گی🔥

🔥جب ایک سرکاری ملازم ریٹائرمنٹ لیتا ہے تو تب اس کی آخری سیلری سلپ  کی بیسک سیلری کے حساب سے اس کی",1867,0,33,1,4,11,1,"['حکومت', 'جانب', 'سرکاری', 'ملازمین', 'تنخواہوں', '35', 'فیصد', 'اضافہ', 'فیصلہ', 'مستقبل', 'سرکاری', 'ملازمین', 'بنیادیں', 'ہل', 'سرکاری', 'ملازم', 'ریٹائرمنٹ', 'آخری', 'سیلری', 'سلپ', 'بیسک', 'سیلری', 'حساب']",حکومت جانب سرکاری ملازم تنخواہ 35 فیصد اضافہ فیصلہ مستقبل سرکاری ملازم بنیاد ہل سرکاری ملازم ریٹائرمنٹ آخری سیلری سلپ بیسک سیلری حساب
10,مہنگائی کی وجہ سے صرف کوئٹہ شہر میں 35000 بچوں کو سکول چھوڑ کر والدین نے مختلف کاموں پر لگایا ھے۔ یونیسف رپورٹ,5550,0,123,0,2,58,1,"['مہنگائی', 'کوئٹہ', 'شہر', '35000', 'بچوں', 'سکول', 'چھوڑ', 'والدین', 'مختلف', 'کاموں', 'لگایا', 'ھے', 'یونیسف', 'رپورٹ']",مہنگائی کوئٹہ شہر 35000 بچہ سکول چھوڑ والدین مختلف کام لگا ھے یونیسف رپورٹ
11,موٹر وے پر سفر کرنے والے ہو جائیں ہوشیار چالان کی رقم بڑھا دی گئی ہیں۔۔! 750 والا چلان  اب 2500 کا ہوا کرے گا۔۔! باقی تفصیل ذیل ہے، https://t.co/jFQD2jkTPG,99,0,6,0,1,2,0,"['موٹر', 'وے', 'سفر', 'ہوشیار', 'چالان', 'رقم', 'بڑھا', '750', 'چلان', 'اب', '2500', 'باقی', 'تفصیل', 'ذیل']",موٹر وے سفر ہوشیار چالان رقم بڑھ 750 چلان اب 2500 باقی تفصیل ذیل
12,موٹر وے پر سفر کرنے والے ہو جائیں ہوشیار چالان کی رقم بڑھا دی گئی ہیں۔۔! 750 والا چلان  اب 2500 کا ہوا کرے گا۔۔! باقی تفصیل ذیل ہے، https://t.co/jFQD2jkTPG,99,0,6,0,1,2,0,"['موٹر', 'وے', 'سفر', 'ہوشیار', 'چالان', 'رقم', 'بڑھا', '750', 'چلان', 'اب', '2500', 'باقی', 'تفصیل', 'ذیل']",موٹر وے سفر ہوشیار چالان رقم بڑھ 750 چلان اب 2500 باقی تفصیل ذیل
13,"Not many knew about the virtual jalsa until they shut the internet. Now the whole world knows about this jalsa. The kind of brains we have in Pakistan. 😂

#PTIVirtualJalsa",111181,19,8673,35,148,1760,0,"['ورچوئل', 'جلسا', 'جانتے', 'انٹرنیٹ', 'اب', 'پوری', 'دنیا', 'جالسا', 'جانتی', 'پاس', 'پاکستان', 'دماغ', 'ptivirtualjalsa']",ورچوئل جلسا جان انٹرنیٹ اب پوری دنیا جالسا جان پاس پاکستان دماغ ptivirtual jalsa
14,"پشتون اور بلوچ عوام سے پنجاب جانے کیلئے کلیرنس NOC مانگتا ہے،
جبکہ پختونخوا اور بلوچستان سے معدنیات چوری کرنے کیلئے کوئی کلیرنس NOC نہیں ہے،
اس سے بڑی دشمنی اور کیا ہوسکتی ہے!! https://t.co/ERDnWoT1x9",429,0,22,0,0,6,1,"['پشتون', 'بلوچ', 'عوام', 'پنجاب', 'کیلئے', 'کلیرنس', 'NOC', 'مانگتا', 'پختونخوا', 'بلوچستان', 'معدنیات', 'چوری', 'کیلئے', 'کلیرنس', 'NOC', 'دشمنی', 'ہوسکتی']",پشتون بلوچ عوام پنجاب کیلئے کلیرنس NOC مانگتا پختونخوا بلوچستان معدنیات چوری کیلئے کلیرنس NOC دشمنی ہوسکتی
15,"پشتون اور بلوچ عوام سے پنجاب جانے کیلئے کلیرنس NOC مانگتا ہے،
جبکہ پختونخوا اور بلوچستان سے معدنیات چوری کرنے کیلئے کوئی کلیرنس NOC نہیں ہے،
اس سے بڑی دشمنی اور کیا ہوسکتی ہے!! https://t.co/ERDnWoT1x9",429,0,22,0,0,6,1,"['پشتون', 'بلوچ', 'عوام', 'پنجاب', 'کیلئے', 'کلیرنس', 'NOC', 'مانگتا', 'پختونخوا', 'بلوچستان', 'معدنیات', 'چوری', 'کیلئے', 'کلیرنس', 'NOC', 'دشمنی', 'ہوسکتی']",پشتون بلوچ عوام پنجاب کیلئے کلیرنس NOC مانگتا پختونخوا بلوچستان معدنیات چوری کیلئے کلیرنس NOC دشمنی ہوسکتی
16,"پشتون اور بلوچ عوام سے پنجاب جانے کیلئے کلیرنس NOC مانگتا ہے،
جبکہ پختونخوا اور بلوچستان سے معدنیات چوری کرنے کیلئے کوئی کلیرنس NOC نہیں ہے،
اس سے بڑی دوشمنی اور کیا ہوسکتا ہے! https://t.co/uaF5QRu8G2",308,0,16,0,1,7,1,"['پشتون', 'بلوچ', 'عوام', 'پنجاب', 'کیلئے', 'کلیرنس', 'NOC', 'مانگتا', 'پختونخوا', 'بلوچستان', 'معدنیات', 'چوری', 'کیلئے', 'کلیرنس', 'NOC', 'دوشمنی', 'ہوسکتا']",پشتون بلوچ عوام پنجاب کیلئے کلیرنس NOC مانگتا پختونخوا بلوچستان معدنیات چوری کیلئے کلیرنس NOC دوشمنی ہوسکتا
17,"پشتون اور بلوچ عوام سے پنجاب جانے کیلئے کلیرنس NOC مانگتا ہے،
جبکہ پختونخوا اور بلوچستان سے معدنیات چوری کرنے کیلئے کوئی کلیرنس NOC نہیں ہے،
اس سے بڑی دوشمنی اور کیا ہوسکتا ہے! https://t.co/uaF5QRu8G2",308,0,16,0,1,7,1,"['پشتون', 'بلوچ', 'عوام', 'پنجاب', 'کیلئے', 'کلیرنس', 'NOC', 'مانگتا', 'پختونخوا', 'بلوچستان', 'معدنیات', 'چوری', 'کیلئے', 'کلیرنس', 'NOC', 'دوشمنی', 'ہوسکتا']",پشتون بلوچ عوام پنجاب کیلئے کلیرنس NOC مانگتا پختونخوا بلوچستان معدنیات چوری کیلئے کلیرنس NOC دوشمنی ہوسکتا
18,"سندھ حکومت نے 43 ہزار ایکڑ سے زائد اراضی پاک فوج کو دینے فیصلہ کیا پاک فوج جوائنٹ وینچر کے تحت فش فارمنگ سمیت مختلف منصوبے شروع کرے گی اس مقصد کیلئے خیرپور کی 28 ہزار،گھوڑا بار,کیٹی بندر کی 11 ہزار،جاتی ,شاہ بندر کی 3400,بدین کی 1000 ایکڑ سے زائد زمین خالی ظاہر کی گئی ہے.زرائع https://t.co/FeO4KFgSpa",33,0,1,0,0,0,0,"['سندھ', 'حکومت', '43', 'ہزار', 'ایکڑ', 'زائد', 'اراضی', 'پاک', 'فوج', 'فیصلہ', 'پاک', 'فوج', 'جوائنٹ', 'وینچر', 'فش', 'فارمنگ', 'سمیت', 'مختلف', 'منصوبے', 'شروع', 'مقصد', 'کیلئے', 'خیرپور', '28', 'ہزار', 'گھوڑا', 'کیٹی', 'بندر', '11', 'ہزار', 'شاہ', 'بندر', '3400', 'بدین', '1000', 'ایکڑ', 'زائد', 'زمین', 'ظاہر', 'زرائع']",سندھ حکومت 43 ہزار ایکڑ زائد اراضی پاک فوج فیصلہ پاک فوج جوائنٹ وینچر فش فارمنگ سمیت مختلف منصوبہ شروع مقصد کیلئے خیرپور 28 ہزار گھوڑا کیٹی بندر 11 ہزار شاہ بندر 3400 بدین 1000 ایکڑ زائد زمین ظاہر زرائع
19,"Hello @murtazasolangi @umarsaif and @PTAofficialpk , can you explain why PTI’s websites are blocked in Pakistan? 

People are still getting symbol information from Imran Khan’s Facebook page so the question is what purpose is this block serving?",85712,2,2176,22,96,1068,0,"['ہیلو', 'پاٹاوفیشلپ', 'وضاحت', 'کرسکتے', 'پاکستان', 'پی', 'ٹی', 'ویب', 'سائٹوں', 'مسدود', 'کردیا', 'عمران', 'خان', 'فیس', 'بک', 'پیج', 'علامت', 'معلومات', 'حاصل', 'سوال', 'بلاک', 'مقصد', 'خدمت']",ہیلو پاٹاوفیشلپ وضاحت کرسک پاکستان پی ٹی ویب سائٹہ مسدود کردیا عمران خان فیس بک پیج علامت معلومات حاصل سوال بلاک مقصد خدمت
20,انٹر نیٹ کیوں بند کردیا ،، ہر کسی نے PTI Virtual Jalsa تو نہیں دیکھنا ،،، ہمارا کیا قصور ہے جناب,165880,3,1533,15,94,224,0,"['انٹر', 'نیٹ', 'کردیا', 'PTI', 'Virtual', 'Jalsa', 'دیکھنا', 'قصور', 'جناب']",انٹر نیٹ کردیا PTI Virtual Jalsa دیکھ قصور جناب
21,"For a year, more than half of the building of Ghazni Khel College occupied. It is heard that students and teaching staff were also kicked out during classes. So today students resisted &amp; asked why the security forces occupied the educational institutions?#SaveLakkiMarwatColleges https://t.co/hVaJ9FZ1dn",2814,0,72,6,10,22,0,"['سال', 'غزنی', 'خیل', 'کالج', 'نصف', 'زیادہ', 'عمارت', 'قبضہ', 'سنا', 'کلاسوں', 'طلباء', 'تدریسی', 'عملے', 'لات', 'مار', 'آج', 'طلباء', 'مزاحمت', 'amp', 'پوچھا', 'سیکیورٹی', 'فورسز', 'تعلیمی', 'اداروں', 'قبضہ']",سال غزنی خیل کالج نصف زیادہ عمارت قبضہ سنا کلاس طالب تدریسی عملے لات مار آج طالب مزاحمت amp پوچھ سیکیورٹی فورسز تعلیمی ادارہ قبضہ
22,"عمران خان کی عظیم کارناموں میں سے ایک شاندار کارنامہ 
مہمند ڈیم ماشاءاللہ کام آخری مرحلے میں داخل آئندہ سال 1700 میگاواٹ سستی بجلی سسٹم میں داخل ہوگئی
انشااللہ 🤟 https://t.co/eByHqAlGPQ",44782,3,1302,5,33,542,1,"['عمران', 'خان', 'عظیم', 'کارناموں', 'شاندار', 'کارنامہ', 'مہمند', 'ڈیم', 'ماشاءاللہ', 'کام', 'آخری', 'مرحلے', 'داخل', 'آئندہ', 'سال', '1700', 'میگاواٹ', 'سستی', 'بجلی', 'سسٹم', 'داخل', 'ہوگئی', 'انشااللہ']",عمران خان عظیم کارنامہ شاندار کارنامہ مہمند ڈیم ماشاءاللہ کام آخری مرحلہ داخل آئندہ سال 1700 میگاواٹ سستی بجلی سسٹم داخل ہوگئی انشااللہ
23,"All PTI elections websites have been blocked in Pakistan under the fascist government, if you need to check your candidate or their symbol please direct everyone to Facebook as it is still working. https://t.co/vZti1kgZ9f",1554,0,48,0,8,22,0,"['امیدوار', 'علامت', 'چیک', 'ضرورت', 'پی', 'ٹی', 'انتخابات', 'تمام', 'ویب', 'سائٹوں', 'فاشسٹ', 'حکومت', 'بلاک', 'کردیا', 'امیدوار', 'علامت', 'چیک', 'ضرورت', 'براہ', 'کرم', 'فیس', 'بک', 'ہدایت', 'کام']",امیدوار علامت چیک ضرورت پی ٹی انتخاب تمام ویب سائٹہ فاشسٹ حکومت بلاک کردیا امیدوار علامت چیک ضرورت براہ کرم فیس بک ہدایت کام
24,"موٹر وے پر سفر کرنے والے ہو جائیں ہوشیار چالان کی رقم بڑھا دی گئی ہیں۔۔! 750 والا چلان  اب 2500 کا ہوا کرے گا۔۔! باقی تفصیل ذیل ہے،
#ShameOnYouTube #PetrolDieselPrice #Pakistan https://t.co/U5eDwHCuG8",347,0,1,0,0,1,0,"['موٹر', 'وے', 'سفر', 'ہوشیار', 'چالان', 'رقم', 'بڑھا', '750', 'چلان', 'اب', '2500', 'باقی', 'تفصیل', 'ذیل', 'ShameOnYouTube', 'PetrolDieselPrice', 'Pakistan']",موٹر وے سفر ہوشیار چالان رقم بڑھ 750 چلان اب 2500 باقی تفصیل ذیل ShameOnYouTube PetrolDieselPrice Pakistan
25,"موٹر وے پر سفر کرنے والے ہو جائیں ہوشیار چالان کی رقم بڑھا دی گئی ہیں۔۔! 750 والا چلان  اب 2500 کا ہوا کرے گا۔۔! باقی تفصیل ذیل ہے،
#ShameOnYouTube #PetrolDieselPrice #Pakistan https://t.co/U5eDwHCuG8",347,0,1,0,0,1,0,"['موٹر', 'وے', 'سفر', 'ہوشیار', 'چالان', 'رقم', 'بڑھا', '750', 'چلان', 'اب', '2500', 'باقی', 'تفصیل', 'ذیل', 'ShameOnYouTube', 'PetrolDieselPrice', 'Pakistan']",موٹر وے سفر ہوشیار چالان رقم بڑھ 750 چلان اب 2500 باقی تفصیل ذیل ShameOnYouTube PetrolDieselPrice Pakistan
26,"Not a single tweet from @hiktweets so far, the most burning issue of the vicinity. The students are on roads against this discriminatory act of Pakistani military.
Pertinent to mention that #GhazniKhel is his native village.
#SaveLakkiMarwatColleges https://t.co/0juOBY89D0",37056,4,78,8,20,26,0,"['ہیکٹ', 'ویٹس', 'ٹویٹ', 'پاس', 'زیادہ', 'جلتا', 'مسئلہ', 'طلباء', 'پاکستانی', 'فوج', 'امتیازی', 'سلوک', 'خلاف', 'سڑکوں', 'بات', 'ذکر', 'ghaznikhel', 'آبائی', 'گاؤں', 'سیوالاکیمارواٹکولجز']",ہیکٹ ویٹس ٹویٹ پاس زیادہ جلتا مسئلہ طالب پاکستانی فوج امتیازی سلوک خلاف سڑک بات ذکر ghaznikhel آبائی گاؤں سیوالاکیمارواٹکولجز
